layer,intervention,metric,metric_label,mean_baseline,mean_ablated,mean_delta,mean_degradation,mean_abs_delta,std_degradation,n_cases
encoder1,noise,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.3605419749603132,0.11415580937578942,0.1737329793048369,0.1737329793048369,0.15344242653380705,375
encoder1,noise,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5154020561433643,0.010440910677075112,0.03904174542227993,0.03904174542227993,0.08290909374446995,375
encoder1,noise,false_positive_voxels,False-positive voxels,1036.744,650.6053333333333,-386.13866666666667,-386.13866666666667,1445.824,3068.246683912567,375
encoder1,zero,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,3864.7546666666667,-7776.170666666667,7864.421333333334,7864.421333333334,4457.738014624715,375
encoder1,zero,false_negative_voxels,False-negative voxels,998.28,8266.530666666667,7268.250666666667,7268.250666666667,7268.250666666667,4667.576385162837,375
encoder1,zero,boundary_complexity,Boundary complexity,6.174654469857373,5.045127961600932,-1.129526508256441,1.8312815675052134,1.8312815675052134,1.6262857543338216,375
encoder1,zero,edema_fraction,Edema fraction,0.6179801798768801,0.10498000989671738,-0.5130001699801627,0.5132692227323215,0.5132692227323215,0.21035758027548307,375
encoder1,zero,dice,Dice,0.8887710221203972,0.39223795008695833,-0.4965330720334387,0.4965330720334387,0.49798019613594563,0.2081053703638526,375
encoder1,zero,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.6216512042807103,0.4860175497435169,0.4860175497435169,0.4860175497435169,0.11277502301795356,375
encoder1,zero,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.27336878580633506,0.02698262022181126,0.14872553515226564,0.14872553515226564,0.12445150335040484,375
encoder1,zero,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5016227299517084,-0.0033384155145808076,0.028639165990899017,0.028639165990899017,0.03893618116691639,375
encoder1,zero,false_positive_voxels,False-positive voxels,1036.744,528.824,-507.92,-507.92,1251.744,2346.6124540762316,375
encoder2,mean,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,20434.890666666666,8793.965333333334,9373.277333333333,9373.277333333333,5180.117061206277,375
