case_id,dice_bin,baseline_dice,direction_type,random_direction_id,sign,alpha,perturbation_rms_ratio,edema_fraction_before,edema_fraction_after,edema_fraction_delta,analytical_probe_pred_delta,dice_before,dice_after,dice_delta,changed_voxels,source
BraTS2021_01051,medium,0.9153768135115248,random,random_02,-1,-1.0,0.23989533074200153,0.5775263563893224,0.5683003128253664,-0.009226043563955955,-24.75061400600932,0.9153768135115248,0.9183508488278459,0.002974035316321122,222,downstream_from_cached_decoder1
BraTS2021_01051,medium,0.9153768135115248,random,random_02,1,1.0,0.23989533074200153,0.5775263563893224,0.5872948739632995,0.00976851757397712,24.750614006009325,0.9153768135115248,0.913551815766203,-0.0018249977453217436,225,downstream_from_cached_decoder1
BraTS2021_00077,medium,0.9166071537880968,probe,,-1,-1.0,0.23938479833304882,0.7080223880594143,0.7186177715088863,0.0105953834494719,-8.114035886373351,0.9219878470446382,0.9215398532515988,-0.0004479937930393,925,existing_editing_results
BraTS2021_00077,medium,0.9166071537880968,probe,,1,1.0,0.23938479833304882,0.7080223880594143,0.6970562297901578,-0.0109661582692565,8.114035886373355,0.9219878470446382,0.9196818919931882,-0.00230595505145,894,existing_editing_results
BraTS2021_00077,medium,0.9166071537880968,random,random_00,-1,-1.0,0.23938479833304882,0.7080223880594143,0.7125520666450206,0.004529678585606267,5.98526427959781,0.9166071537880968,0.9219540954278554,0.005346941639758684,344,downstream_from_cached_decoder1
BraTS2021_00077,medium,0.9166071537880968,random,random_00,1,1.0,0.23938479833304882,0.7080223880594143,0.7031423290200439,-0.004880059039370388,-5.98526427959781,0.9166071537880968,0.9221677716921464,0.005560617904049603,356,downstream_from_cached_decoder1
BraTS2021_00077,medium,0.9166071537880968,random,random_01,-1,-1.0,0.23938479833304882,0.7080223880594143,0.6999957397858391,-0.008026648273575243,16.328442630602414,0.9166071537880968,0.9165932821738758,-1.3871614220950512e-05,1196,downstream_from_cached_decoder1
BraTS2021_00077,medium,0.9166071537880968,random,random_01,1,1.0,0.23938479833304882,0.7080223880594143,0.7171297733620315,0.009107385302617232,-16.328442630602414,0.9166071537880968,0.9215627438036524,0.004955590015555678,1136,downstream_from_cached_decoder1
BraTS2021_00077,medium,0.9166071537880968,random,random_02,-1,-1.0,0.23938479833304882,0.7080223880594143,0.705025910997489,-0.0029964770619252956,-24.750614006009318,0.9166071537880968,0.9217265890594578,0.00511943527136105,351,downstream_from_cached_decoder1
BraTS2021_00077,medium,0.9166071537880968,random,random_02,1,1.0,0.23938479833304882,0.7080223880594143,0.7110053206381921,0.002982932578777797,24.75061400600932,0.9166071537880968,0.9223454833597622,0.005738329571665424,357,downstream_from_cached_decoder1
