layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
encoder3,mean,enhancing_fraction,Enhancing fraction,7,0.015712257508647975,-0.00609702834820476,0.24498667172757516,0.23888964337937038
encoder3,mean,centroid_z,Centroid Z (normalized),8,0.0055338076556141,0.0012098007184271546,0.5043551347248298,0.5055649354432571
encoder3,mean,false_negative_voxels,False-negative voxels,9,-102.192,-102.192,996.0666666666667,893.8746666666667
encoder3,noise,tumor_volume,Tumor volume (pred WT voxels),1,654.112,382.53866666666664,11701.106666666667,12083.645333333334
encoder3,noise,false_positive_voxels,False-positive voxels,2,341.26933333333335,341.26933333333335,1094.712,1435.9813333333334
encoder3,noise,boundary_complexity,Boundary complexity,3,0.27871711890097955,0.140321508591139,6.212924539013352,6.3532460476044905
encoder3,noise,edema_fraction,Edema fraction,4,0.028180390673580514,-0.00761722913325634,0.6238905015218923,0.6162732723886359
encoder3,noise,necrosis_fraction,Necrosis fraction,5,0.020437446788023436,0.012632456009931658,0.13112282674917344,0.1437552827591051
encoder3,noise,dice,Dice,6,0.015131418055250236,-0.015131418055250236,0.8831681764083926,0.8680367583531424
encoder3,noise,enhancing_fraction,Enhancing fraction,7,0.013301004582193755,-0.005015226876571488,0.24498667172757516,0.2399714448510037
encoder3,noise,centroid_z,Centroid Z (normalized),8,0.004848009096920531,0.00048141149505978397,0.5043551347248298,0.5048365462198897
encoder3,noise,false_negative_voxels,False-negative voxels,9,-41.269333333333336,-41.269333333333336,996.0666666666667,954.7973333333333
encoder3,zero,tumor_volume,Tumor volume (pred WT voxels),1,758.528,342.336,11701.106666666667,12043.442666666666
encoder3,zero,false_positive_voxels,False-positive voxels,2,360.7386666666667,360.7386666666667,1094.712,1455.4506666666666
encoder3,zero,false_negative_voxels,False-negative voxels,3,18.402666666666665,18.402666666666665,996.0666666666667,1014.4693333333333
encoder3,zero,boundary_complexity,Boundary complexity,4,0.2953266135040615,0.15818809858186672,6.212924539013352,6.371112637595219
encoder3,zero,edema_fraction,Edema fraction,5,0.030749225835216602,-0.009035666429567895,0.6238905015218923,0.6148548350923243
encoder3,zero,necrosis_fraction,Necrosis fraction,6,0.02200714517933471,0.013925396420517232,0.13112282674917344,0.14504822316969065
encoder3,zero,dice,Dice,7,0.018572014565328258,-0.018572014565328258,0.8831681764083926,0.8645961618430644
encoder3,zero,enhancing_fraction,Enhancing fraction,8,0.014384321148653983,-0.004889729990845197,0.24498667172757516,0.24009694173672994
encoder3,zero,centroid_z,Centroid Z (normalized),9,0.004930924189388264,5.304232766405592e-05,0.5043551347248298,0.504408177052494
encoder4,mean,tumor_volume,Tumor volume (pred WT voxels),1,291.17333333333335,-114.08,11701.106666666667,11587.026666666667
encoder4,mean,false_negative_voxels,False-negative voxels,2,28.797333333333334,28.797333333333334,996.0666666666667,1024.864
encoder4,mean,boundary_complexity,Boundary complexity,3,0.17660474979721785,-0.04451191754450808,6.212924539013352,6.168412621468844
encoder4,mean,edema_fraction,Edema fraction,4,0.0132779172877976,-0.006232860532794369,0.6238905015218923,0.6176576409890979
encoder4,mean,necrosis_fraction,Necrosis fraction,5,0.008034835689211803,0.004379026449024811,0.13112282674917344,0.13550185319819824
